iso_code,location,gdp by billions,total_cases,population in millions,total_deaths,density(P/KM^2),total_cases_per_million,new_cases_per_million,total_deaths_per_million,0 or 1 Average,0 or 1 Median,40.16295567,3.09
ABW,Aruba,2.7,100,0.11,2,593,936.63,0,18.73,0,1,,
AFG,Afghanistan,19.54,1949,38.93,60,60,50.07,3.13,1.54,0,0,,
AGO,Angola,122,27,32.87,2,26,0.82,0,0.06,0,0,,
AIA,Anguilla,0.18,3,0.02,0,167,199.97,0,0,0,0,,
ALB,Albania,13.04,766,2.88,31,105,266.18,5.56,10.77,0,1,,
AND,Andorra,3.01,753,0.08,42,164,9745.68,64.71,543.58,1,1,,
ARE,United Arab Emirates,383,11929,9.89,98,118,1206.12,55.51,9.91,0,1,,
ARG,Argentina,637,4272,45.2,214,17,94.52,3.5,4.74,0,1,,
ARM,Armenia,11.54,1932,2.96,30,104,651.99,0,10.12,0,1,,
ATG,Antigua and Barbuda,1.51,24,0.1,3,223,245.08,0,30.64,0,1,,
AUS,Australia,1323,6746,25.45,90,3,264.55,0.31,3.53,0,1,,
AUT,Austria,417,15364,9.01,580,109,1705.9,5.55,64.4,1,1,,
AZE,Azerbaijan,40.75,1766,10.14,23,123,174.18,4.83,2.27,0,0,,
BDI,Burundi,3.17,15,11.89,1,463,1.26,0,0.08,0,0,,
BEL,Belgium,495,47859,11.59,7501,383,4129.47,45.3,647.22,1,1,,
BEN,Benin,9.25,69,12.12,2,108,5.69,0.41,0.17,0,0,,
BES,Bonaire Sint Eustatius and Saba,0.58,6,0.03,0,77,228.82,0,0,0,0,,
BFA,Burkina Faso,12.32,641,20.9,43,76,30.67,0.14,2.06,0,0,,
BGD,Bangladesh,250,7103,164.69,163,1265,43.13,3.89,0.99,0,0,,
BGR,Bulgaria,58.22,1447,6.95,64,64,208.25,6.91,9.21,0,1,,
BHR,Bahrain,35.43,2921,1.7,8,2239,1716.64,64.65,4.7,0,1,,
BHS,Bahamas,12.16,80,0.39,11,39,203.43,0,27.97,0,1,,
BIH,Bosnia and Herzegovina,18.05,1588,3.28,62,64,484.03,0,18.9,0,1,,
BLR,Belarus,54.46,13181,9.45,84,47,1394.92,102.97,8.89,0,1,,
BLZ,Belize,1.86,18,0.4,2,17,45.27,0,5.03,0,1,,
BMU,Bermuda,5.57,111,0.06,6,1246,1782.47,16.06,96.35,1,1,,
BOL,Bolivia,37.51,1110,11.67,59,11,95.09,4.88,5.05,0,1,,
BRA,Brazil,2054,78162,212.56,5466,25,367.72,29.53,25.72,0,1,,
BRB,Barbados,4.67,80,0.29,7,668,278.39,0,24.36,0,1,,
BRN,Brunei,12.13,138,0.44,1,83,315.44,0,2.29,0,0,,
BTN,Bhutan,1.95,7,0.77,0,20,9.07,0,0,0,0,,
BWA,Botswana,17.41,23,2.35,1,4,9.78,0,0.43,0,0,,
CAF,Central African Republic,1.95,50,4.83,0,8,10.35,0,0,0,0,,
CAN,Canada,1647,51587,37.74,2996,4,1366.83,41.65,79.38,1,1,,
CHE,Switzerland,679,29324,8.65,1407,219,3388.25,16.52,162.57,1,1,,
CHL,Chile,277,14885,19.12,216,26,778.66,27.2,11.3,0,1,,
CHN,China,12238,83944,1439.32,4637,153,58.32,0,3.22,0,1,,
CIV,Cote d'Ivoire,37.35,1238,26.38,14,83,46.93,2.09,0.53,0,0,,
CMR,Cameroon,34.92,1832,26.55,61,56,69.01,0.98,2.3,0,0,,
COD,Democratic Republic of Congo,37.64,500,89.56,31,40,5.58,0.1,0.35,0,0,,
COG,Congo,8.7,220,5.52,9,16,39.87,2.36,1.63,0,0,,
COL,Colombia,314,6211,50.88,278,46,122.07,5.15,5.46,0,1,,
CPV,Cape Verde,1.98,113,0.56,1,138,203.24,0,1.8,0,0,,
CRI,Costa Rica,57.29,713,5.09,6,100,139.97,1.57,1.18,0,0,,
CUB,Cuba,96.85,1467,11.33,58,106,129.52,2.65,5.12,0,1,,
CUW,Curacao,3.13,16,0.16,1,370,97.5,0,6.09,0,1,,
CYM,Cayman Islands,5.14,73,0.07,1,274,1110.77,45.65,15.22,0,1,,
CYP,Cyprus,22.05,843,1.21,20,131,962.44,6.85,22.83,0,1,,
CZE,Czech Republic,216,7579,10.71,227,139,707.72,7,21.2,0,1,,
DEU,Germany,3693,159119,83.78,6288,240,1899.16,17.64,75.05,1,1,,
DJI,Djibouti,2.96,1077,0.99,2,43,1090.08,5.06,2.02,0,0,,
DMA,Dominica,0.55,16,0.07,0,96,222.25,0,0,0,0,,
DNK,Denmark,330,9008,5.79,443,137,1555.19,27.11,76.48,1,1,,
DOM,Dominican Republic,75.93,6652,10.85,293,225,613.21,21.76,27.01,0,1,,
DZA,Algeria,168,3848,43.85,444,18,87.75,4.54,10.13,0,1,,
ECU,Ecuador,104,24675,17.64,883,71,1398.57,23.64,50.05,1,1,,
EGY,Egypt,235,5268,102.33,380,103,51.48,2.21,3.71,0,1,,
ERI,Eritrea,2.61,39,3.55,0,35,11,0,0,0,0,,
ESH,Western Sahara,0.91,6,0.6,0,2,10.05,0,0,0,0,,
ESP,Spain,1314,212917,46.75,24275,94,4553.91,45.86,519.2,1,1,,
EST,Estonia,26.61,1666,1.33,50,31,1255.9,4.52,37.69,0,1,,
ETH,Ethiopia,80.56,130,114.96,3,115,1.13,0.04,0.03,0,0,,
FIN,Finland,252,4906,5.54,206,18,885.45,29.96,37.18,0,1,,
FJI,Fiji,5.06,18,0.9,0,49,20.08,0,0,0,0,,
FLK,Falkland Islands,0.16,13,0,0,0,3732.42,0,0,0,0,,
FRA,France,2583,128442,65.27,24087,119,1967.75,24.62,369.02,1,1,,
FRO,Faeroe Islands,2.69,187,0.05,0,35,3826.87,0,0,0,0,,
GAB,Gabon,15.01,276,2.23,3,9,124,17.07,1.35,0,0,,
GBR,United Kingdom,2638,165221,67.89,26097,281,2433.8,60.04,384.42,1,1,,
GEO,Georgia,15.08,517,3.99,6,57,129.6,1.5,1.5,0,0,,
GGY,Guernsey,3.47,251,0.07,13,995,0,0,0,0,0,,
GHA,Ghana,59,1671,31.07,16,137,53.78,0,0.52,0,0,,
GIB,Gibraltar,2.04,141,0.03,0,3369,4185.09,0,0,0,0,,
GIN,Guinea,10.91,1351,13.13,7,53,102.87,8.45,0.53,0,0,,
GMB,Gambia,1.49,11,2.42,1,239,4.55,0.41,0.41,0,0,,
GNB,Guinea-Bissau,1.35,77,1.97,1,70,39.13,2.03,0.51,0,0,,
